iter	Passed	Remaining
237	1028	3293
238	1031	3283
239	1033	3274
240	1039	3272
241	1044	3271
242	1047	3262
243	1049	3252
244	1052	3244
245	1056	3237
246	1059	3229
247	1062	3220
248	1065	3212
249	1068	3206
250	1072	3199
251	1074	3189
252	1076	3179
253	1079	3169
254	1081	3160
255	1085	3154
256	1088	3145
257	1090	3137
258	1093	3128
259	1095	3118
260	1098	3109
261	1102	3104
262	1104	3096
263	1107	3088
264	1110	3080
265	1114	3074
266	1116	3066
267	1121	3063
268	1124	3055
269	1127	3047
270	1129	3038
271	1136	3042
272	1141	3038
273	1143	3030
274	1146	3022
275	1150	3016
276	1152	3009
277	1155	3000
278	1157	2992
279	1160	2984
280	1164	2979
281	1167	2972
282	1169	2963
283	1172	2955
284	1176	2952
285	1182	2951
286	1187	2949
287	1191	2946
288	1197	2946
289	1202	2943
290	1233	3005
291	1264	3065
292	1271	3068
293	1276	3065
294	1281	3061
295	1301	3095
296	1308	3098
297	1319	3107
298	1328	3115
299	1338	3123
300	1344	3121
301	1367	3160
302	1372	3156
303	1377	3153
304	1388	3164
305	1392	3158
306	1397	3154
307	1400	3146
308	1402	3137
309	1405	3127
310	1408	3119
311	1411	3112
312	1415	3107
313	1418	3099
314	1421	3091
315	1424	3082
316	1427	3076
317	1431	3069
318	1434	3061
319	1437	3053
320	1440	3046
321	1447	3048
322	1451	3042
323	1454	3034
324	1457	3027
325	1461	3022
326	1501	3090
327	1506	3087
328	1512	3083
329	1525	3097
330	1530	3092
331	1534	3086
332	1563	3131
333	1573	3137
334	1626	3227
335	1651	3263
336	1658	3263
337	1701	3332
338	1707	3330
339	1713	3326
340	1718	3320
341	1724	3318
342	1729	3312
343	1742	3323
344	1748	3319
345	1758	3323
346	1763	3318
347	1766	3309
348	1771	3304
349	1774	3295
350	1776	3285
351	1779	3275
352	1781	3265
353	1784	3256
354	1803	3277
355	1807	3269
356	1810	3260
357	1813	3251
358	1816	3242
359	1820	3236
360	1822	3226
361	1825	3217
362	1828	3208
363	1830	3198
364	1834	3191
365	1839	3186
366	1842	3177
367	1844	3167
368	1846	3158
369	1851	3153
370	1855	3145
371	1857	3136
372	1860	3127
373	1863	3118
374	1868	3114
375	1872	3106
376	1876	3100
377	1878	3091
378	1881	3083
379	1886	3077
380	1888	3068
381	1891	3060
382	1894	3051
383	1896	3042
384	1901	3036
385	1904	3029
386	1907	3020
387	1909	3012
388	1912	3004
389	1916	2997
390	1919	2990
391	1922	2981
392	1925	2973
393	1928	2965
394	1931	2958
395	1934	2951
396	1937	2942
397	1939	2934
398	1942	2925
399	1947	2921
400	1951	2915
401	1954	2907
402	1956	2898
403	1960	2892
404	1963	2884
405	1966	2876
406	1968	2868
407	1971	2860
408	1973	2852
409	1976	2844
410	1980	2838
411	1983	2830
412	1986	2822
413	1990	2817
414	1993	2810
415	2004	2814
416	2007	2806
417	2010	2799
418	2013	2791
419	2015	2783
420	2018	2775
421	2020	2767
422	2022	2759
423	2026	2752
424	2029	2745
425	2031	2737
426	2034	2729
427	2036	2721
428	2038	2713
429	2042	2707
430	2044	2699
431	2047	2691
432	2049	2684
433	2052	2676
434	2054	2668
435	2057	2661
436	2059	2653
437	2062	2645
438	2064	2638
439	2068	2632
440	2070	2624
441	2073	2617
442	2076	2610
443	2078	2603
444	2081	2595
445	2083	2588
446	2085	2580
447	2089	2574
448	2092	2568
449	2095	2561
450	2099	2555
451	2102	2548
452	2105	2542
453	2108	2535
454	2111	2528
455	2115	2524
456	2125	2525
457	2131	2521
458	2136	2518
459	2141	2513
460	2143	2506
461	2146	2499
462	2148	2492
463	2212	2555
464	2220	2554
465	2226	2551
466	2236	2552
467	2241	2548
468	2261	2561
469	2270	2559
470	2273	2553
471	2278	2548
472	2283	2544
473	2292	2544
474	2306	2549
475	2310	2543
476	2335	2560
477	2339	2554
478	2355	2561
479	2361	2558
480	2369	2556
481	2373	2550
482	2382	2550
483	2385	2543
484	2388	2535
485	2391	2528
486	2398	2526
487	2402	2520
488	2404	2513
489	2407	2505
490	2414	2502
491	2417	2496
492	2420	2489
493	2422	2481
494	2430	2479
495	2433	2473
496	2436	2465
497	2439	2458
498	2448	2458
499	2452	2452
500	2456	2446
501	2462	2443
502	2467	2438
503	2470	2431
504	2477	2428
505	2480	2421
506	2483	2415
507	2486	2408
508	2494	2405
509	2497	2399
510	2500	2392
511	2502	2385
512	2510	2383
513	2514	2377
514	2519	2372
515	2532	2375
516	2540	2373
517	2545	2368
518	2548	2362
519	2558	2361
520	2561	2355
521	2564	2348
522	2571	2345
523	2574	2339
524	2578	2332
525	2580	2325
526	2587	2322
527	2591	2316
528	2595	2310
529	2601	2306
530	2607	2302
531	2611	2297
532	2620	2295
533	2623	2289
534	2627	2283
535	2637	2282
536	2640	2277
537	2643	2270
538	2650	2266
539	2654	2261
540	2657	2255
541	2663	2250
542	2667	2245
543	2672	2239
544	2677	2235
545	2683	2231
546	2686	2224
547	2690	2219
548	2696	2215
549	2700	2209
550	2703	2203
551	2713	2202
552	2716	2195
553	2718	2188
554	2725	2185
555	2728	2179
556	2732	2173
557	2735	2166
558	2742	2163
559	2745	2157
560	2748	2150
561	2750	2143
562	2760	2143
563	2764	2136
564	2766	2130
565	2775	2128
566	2778	2121
567	2780	2115
568	2783	2108
569	2788	2103
570	2791	2097
571	2794	2090
572	2796	2084
573	2799	2077
574	2805	2073
575	2808	2067
576	2812	2061
577	2815	2055
578	2822	2052
579	2826	2046
580	2830	2041
581	2838	2038
582	2841	2032
583	2843	2025
584	2846	2019
585	2854	2016
586	2857	2010
587	2859	2003
588	2862	1997
589	2868	1993
590	2872	1987
591	2874	1981
592	2877	1974
593	2881	1969
594	2888	1966
595	2892	1960
596	2899	1957
597	2902	1950
598	2904	1944
599	2907	1938
600	2914	1935
601	2918	1929
602	2921	1923
603	2928	1919
604	2932	1914
605	2936	1909
606	2939	1903
607	2946	1899
608	2949	1893
609	2953	1888
610	2958	1883
611	2964	1879
612	2969	1874
613	2973	1869
614	2980	1865
615	2984	1860
616	2986	1853
617	2995	1851
618	2999	1846
619	3002	1840
620	3010	1837
621	3014	1832
622	3017	1826
623	3023	1821
624	3027	1816
625	3031	1811
626	3033	1804
627	3039	1800
628	3043	1795
629	3046	1789
630	3049	1783
631	3060	1781
632	3064	1776
633	3075	1775
634	3078	1769
635	3080	1763
636	3087	1759
637	3090	1753
638	3092	1747
639	3095	1741
640	3098	1735
641	3104	1731
642	3107	1725
643	3110	1719
644	3113	1713
645	3119	1709
646	3122	1703
647	3125	1697
648	3127	1691
649	3131	1686
650	3140	1683
651	3143	1677
652	3146	1671
653	3152	1667
654	3155	1661
655	3157	1655
656	3160	1649
657	3166	1645
658	3169	1639
659	3171	1633
660	3174	1627
661	3176	1622
662	3183	1618
663	3186	1612
664	3188	1606
665	3191	1600
666	3201	1598
667	3204	1592
668	3207	1587
669	3212	1582
670	3216	1577
671	3219	1571
672	3222	1565
673	3226	1560
674	3233	1557
675	3236	1551
676	3238	1545
677	3245	1541
678	3248	1535
679	3250	1529
680	3253	1524
681	3259	1519
682	3265	1515
683	3270	1511
684	3277	1507
685	3280	1501
686	3282	1495
687	3285	1489
688	3290	1485
689	3294	1479
690	3297	1474
691	3300	1468
692	3306	1464
693	3309	1459
694	3312	1453
695	3315	1448
696	3324	1445
697	3327	1439
698	3330	1434
699	3335	1429
700	3351	1429
701	3357	1425
702	3360	1419
703	3363	1414
704	3370	1410
705	3373	1404
706	3376	1399
707	3378	1393
708	3386	1390
709	3390	1384
710	3393	1379
711	3398	1374
712	3428	1379
713	3435	1376
714	3440	1371
715	3443	1365
716	3451	1362
717	3454	1356
718	3457	1351
719	3460	1345
720	3467	1341
721	3470	1336
722	3472	1330
723	3474	1324
724	3479	1319
725	3491	1317
726	3497	1313
727	3500	1307
728	3503	1302
729	3506	1296
730	3510	1291
731	3515	1286
732	3518	1281
733	3521	1276
734	3530	1272
735	3532	1267
736	3534	1261
737	3537	1256
738	3540	1250
739	3546	1245
740	3548	1240
741	3551	1234
742	3553	1229
743	3556	1223
744	3560	1218
745	3562	1213
746	3565	1207
747	3567	1201
748	3570	1196
749	3573	1191
750	3576	1185
751	3579	1180
752	3582	1175
753	3584	1169
754	3587	1164
755	3590	1158
756	3593	1153
757	3595	1147
758	3597	1142
759	3600	1137
760	3603	1131
761	3607	1126
762	3610	1121
763	3612	1115
764	3614	1110
765	3617	1104
766	3620	1099
767	3623	1094
768	3626	1089
769	3628	1083
770	3631	1078
771	3633	1073
772	3637	1068
773	3640	1062
774	3642	1057
775	3645	1052
776	3647	1046
777	3650	1041
778	3654	1036
779	3657	1031
780	3659	1026
781	3662	1020
782	3664	1015
783	3668	1010
784	3671	1005
785	3673	1000
786	3676	994
787	3678	989
788	3680	984
789	3683	979
790	3687	974
791	3689	969
792	3692	963
793	3694	958
794	3697	953
795	3702	948
796	3704	943
797	3707	938
798	3709	933
799	3711	927
800	3715	923
801	3718	918
802	3721	912
803	3723	907
804	3726	902
805	3728	897
806	3732	892
807	3734	887
808	3737	882
809	3739	877
810	3742	872
811	3744	866
812	3748	862
813	3750	857
814	3753	851
815	3755	846
816	3758	841
817	3760	836
818	3763	831
819	3766	826
820	3769	821
821	3771	816
822	3773	811
823	3776	806
824	3778	801
825	3781	796
826	3784	791
827	3786	786
828	3789	781
829	3791	776
830	3796	772
831	3799	767
832	3801	762
833	3804	757
834	3806	752
835	3808	747
836	3812	742
837	3815	737
838	3818	732
839	3820	727
840	3823	722
841	3827	718
842	3830	713
843	3833	708
844	3835	703
845	3838	698
846	3841	693
847	3845	689
848	3847	684
849	3850	679
850	3853	674
851	3855	669
852	3858	664
853	3861	660
854	3864	655
855	3866	650
856	3869	645
857	3872	640
858	3874	636
859	3877	631
860	3879	626
861	3882	621
862	3884	616
863	3887	611
864	3890	607
865	3893	602
866	3896	597
867	3898	592
868	3902	588
869	3909	584
870	3912	579
871	3915	574
872	3917	569
873	3920	565
874	3927	561
875	3930	556
876	3932	551
877	3935	546
878	3939	542
879	3944	537
880	3946	533
881	3949	528
882	3952	523
883	3956	519
884	3959	514
885	3962	509
886	3964	505
887	3967	500
888	3971	495
889	3973	491
890	3976	486
891	3979	481
892	3981	477
893	3985	472
894	4006	470
895	4009	465
896	4012	460
897	4015	456
898	4021	451
899	4024	447
900	4028	442
901	4030	437
902	4034	433
903	4038	428
904	4041	424
905	4043	419
906	4046	414
907	4050	410
908	4054	405
909	4056	401
910	4066	397
911	4069	392
912	4071	387
913	4074	383
914	4076	378
915	4079	374
916	4084	369
917	4088	365
918	4091	360
919	4099	356
920	4103	351
921	4106	347
922	4110	342
923	4115	338
924	4117	333
925	4120	329
926	4123	324
927	4126	320
928	4130	315
929	4134	311
930	4136	306
931	4139	302
932	4143	297
933	4147	293
934	4150	288
935	4154	284
936	4157	279
937	4159	274
938	4162	270
939	4166	265
940	4170	261
941	4174	257
942	4177	252
943	4179	247
944	4182	243
945	4185	238
946	4187	234
947	4191	229
948	4193	225
949	4196	220
950	4198	216
951	4201	211
952	4204	207
953	4207	202
954	4210	198
955	4215	194
956	4222	189
957	4226	185
958	4230	180
959	4234	176
960	4238	172
961	4241	167
962	4244	163
963	4247	158
964	4250	154
965	4252	149
966	4255	145
967	4257	140
968	4259	136
969	4262	131
970	4264	127
971	4267	122
972	4275	118
973	4277	114
974	4280	109
975	4283	105
976	4286	100
977	4289	96
978	4292	92
979	4295	87
980	4299	83
981	4301	78
982	4304	74
983	4307	70
984	4310	65
985	4313	61
986	4317	56
987	4320	52
988	4322	48
989	4325	43
990	4327	39
991	4331	34
992	4334	30
993	4336	26
994	4339	21
995	4342	17
996	4344	13
997	4347	8
998	4349	4
999	4352	0
